timestamp,vram_dedicated_bytes,ram_used_bytes,foamrun_rss_bytes
1778257186.985133740,1362481152,6995120128,0
1778257187.206468987,1362481152,7058944000,0
1778257187.428082304,1362546688,7059853312,0
1778257187.649628009,1362546688,7062437888,0
1778257187.871874869,1362546688,7066615808,0
1778257188.092957929,1362546688,7071145984,0
1778257188.313726357,1362546688,7087738880,0
1778257188.536046925,1362546688,7096291328,0
1778257188.757930836,1362546688,7090630656,0
1778257188.977534573,1362481152,7080161280,528392192
1778257189.200676649,1362481152,7623475200,3584585728
1778257189.424884273,1362481152,7958056960,5279383552
1778257189.648646342,1362481152,8248434688,5998706688
1778257189.871426358,1362546688,8409640960,6128599040
1778257190.094131069,1362546688,8544083968,6260334592
1778257190.316922831,1362546688,8666161152,6387113984
1778257190.539664062,1362546688,8791191552,6511276032
1778257190.762463587,1362546688,8905072640,6637445120
1778257190.985111537,1362546688,9026666496,6761529344
1778257191.207945584,1362546688,9709531136,7627911168
1778257191.430635236,1362546688,11001831424,8734334976
1778257191.653129260,1362546688,11209609216,8941191168
1778257191.874955231,1362481152,11412541440,9148444672
1778257192.097870045,1362481152,11616976896,9349881856
1778257192.320072425,1362481152,11813883904,9546416128
1778257192.541826403,1362481152,12009385984,9744183296
1778257192.764104687,1362481152,12212748288,9941082112
1778257192.987302168,1362481152,12398006272,10136653824
1778257193.209654380,1362481152,12597121024,10331779072
1778257193.431136958,1362776064,12801753088,10527055872
1778257193.653724332,1362481152,13007716352,10723627008
1778257193.877148420,1362481152,13198807040,10920804352
1778257194.099651784,1362546688,13395316736,11117481984
1778257194.321483094,1362546688,13597351936,11312762880
1778257194.543569233,1362546688,13795115008,11509346304
1778257194.766180031,1362612224,13985845248,11706232832
1778257194.989038159,1362612224,14172065792,11899551744
1778257195.212224890,1362612224,14355488768,12068855808
1778257195.435228397,1362612224,14500118528,12221808640
1778257195.658637269,1362612224,14641532928,12368756736
1778257195.880884928,1362546688,14774898688,12501000192
1778257196.104340205,1362546688,14904926208,12627132416
1778257196.326464628,1362546688,15031263232,12747251712
1778257196.549308055,1362546688,15081279488,12785381376
1778257196.771518089,1362546688,15240601600,12973539328
1778257196.997448243,1362481152,17413029888,15256367104
1778257197.222004139,1362481152,19764998144,17613623296
1778257197.445792954,1362481152,23118163968,20884045824
1778257197.670568375,1362481152,23193899008,20897775616
1778257197.895899069,1362546688,23183126528,20226174976
1778257198.120157632,1362546688,23795879936,21565558784
1778257198.343210522,1362546688,24266059776,22020059136
1778257198.566730439,1362546688,27632795648,23197351936
1778257198.791337246,1362546688,28486463488,26529751040
1778257199.016150922,1362481152,32859152384,30754844672
1778257199.239925889,1362481152,33856212992,31616806912
1778257199.465834596,1362481152,33910321152,31642087424
1778257199.691097774,1362481152,33909321728,31644098560
1778257199.916879031,1362481152,33911619584,31647133696
1778257200.142547135,1362481152,33912184832,31647895552
1778257200.368222204,1362481152,33912414208,31647895552
1778257200.594214630,1362481152,33911119872,31647944704
1778257200.819177374,1362481152,33911304192,31648555008
1778257201.044922518,1362481152,33905766400,31648653312
1778257201.270438238,1362481152,33905541120,31648796672
1778257201.494372257,1362481152,33904877568,31648919552
1778257201.719244946,1362481152,33904422912,28857659392
1778257201.943606961,1362415616,34023309312,31996915712
1778257202.167213204,1362415616,35246804992,33033285632
1778257202.390850577,1362415616,35825455104,33577422848
1778257202.615108737,1362415616,36055130112,32623992832
1778257202.839205509,1362415616,34911059968,29777469440
1778257203.064637581,1362415616,36599652352,34338172928
1778257203.292632601,1362415616,36599898112,34203086848
1778257203.522911433,1362415616,36599742464,33103908864
1778257203.752671916,1362415616,36599930880,33922060288
1778257203.981398361,1362546688,36599844864,33922060288
1778257204.208035562,1362546688,34656190464,29488418816
1778257204.436738701,1362546688,35499909120,33502240768
1778257204.661438287,1362546688,36364627968,34143092736
1778257204.885025696,1362546688,36932026368,34697502720
1778257205.110631263,1362546688,37170204672,33887682560
1778257205.334892302,1362546688,36291796992,31433486336
1778257205.560754572,1362546688,37187293184,35263287296
1778257205.786674734,1362546688,41341972480,39094005760
1778257206.013225497,1362546688,41337135104,36631744512
1778257206.242772800,1362546688,41332195328,38192816128
1778257206.471758431,1362546688,41332453376,38984200192
1778257206.700598820,1362546688,41333481472,38984200192
1778257206.930755166,1362481152,41867083776,39788609536
1778257207.158437884,1362481152,43797733376,39838007296
1778257207.386026128,1362481152,45349072896,40229990400
1778257207.615409629,1362481152,43904860160,37269114880
1778257207.841262987,1362481152,43799117824,41556475904
1778257208.070036109,1362481152,43809603584,41556475904
1778257208.297439257,1362481152,43809849344,40628535296
1778257208.526366048,1362481152,43810422784,41446670336
1778257208.754581138,1316409344,43809525760,41446670336
1778257208.982627680,1316409344,43809480704,39772606464
1778257209.207929534,1316409344,45459968000,43374141440
1778257209.434612394,1316409344,44789800960,39503372288
1778257209.663086241,1316409344,36317057024,34176876544
1778257209.885519243,1316343808,36317233152,34176876544
1778257210.113319605,1316343808,40357339136,38431469568
1778257210.339063146,1316343808,44513730560,42274553856
1778257210.567137280,1316343808,44513828864,39812292608
1778257210.797844923,1316343808,44515958784,41448562688
1778257211.027924744,1316343808,44516020224,42266697728
1778257211.255343915,1316343808,44516081664,42266697728
1778257211.485130334,1316409344,44516372480,41833897984
1778257211.711144842,1316409344,45273374720,43207671808
1778257211.937432073,1316409344,46056144896,41850335232
1778257212.163934620,1316409344,43033432064,40319082496
1778257212.388575786,1316409344,44505391104,42274553856
1778257212.616997352,1316409344,44505907200,41275650048
1778257212.841456839,1316409344,44508798976,42266697728
1778257213.067961311,1316343808,44508798976,42266697728
1778257213.296293920,1316343808,44507037696,39812292608
1778257213.524655230,1316343808,44882587648,42799792128
1778257213.752223855,1316409344,46979461120,42163503104
1778257213.983004722,1316409344,41875677184,37350273024
1778257214.210039792,1316409344,39435341824,36601765888
1778257214.436109473,1316409344,42879733760,40634077184
1778257214.664749327,1316409344,42880933888,38171815936
1778257214.891839722,1316343808,42883428352,39808086016
1778257215.121044388,1316343808,42884587520,40626221056
1778257215.349162396,1316343808,42885165056,40626221056
1778257215.577274329,1316343808,42885226496,38924095488
1778257215.805703373,1316343808,42878042112,38976258048
1778257216.035820000,1316343808,42863665152,40275034112
1778257216.260236557,1316343808,42030649344,39715119104
1778257216.489378634,1316343808,44843606016,42946564096
1778257216.714538204,1316343808,46149709824,43913887744
1778257216.943251813,1316343808,46150864896,43087896576
1778257217.170977648,1316638720,46151774208,43906031616
1778257217.397881668,1316343808,46149988352,43906031616
1778257217.626057831,1316343808,46149648384,42492391424
1778257217.852286441,1316343808,46089879552,42277634048
1778257218.078293496,1316343808,42926243840,38176473088
1778257218.307952982,1316343808,41293377536,39001612288
1778257218.532159316,1316638720,43717849088,41508544512
1778257218.761684151,1316343808,45600514048,43686125568
1778257218.986818295,1316409344,50761830400,48785199104
1778257219.213324467,1316409344,51117432832,48884338688
1778257219.441502840,1316409344,51168526336,48121548800
1778257219.670160833,1316409344,51176501248,48939683840
1778257219.897762739,1316409344,51177525248,48939683840
1778257220.127628814,1316409344,51201482752,46511255552
1778257220.354657755,1316409344,49218289664,44875042816
1778257220.580549824,1316409344,45083455488,41023807488
1778257220.806849269,1316409344,43892097024,39104106496
1778257221.036324470,1316343808,41516462080,37161226240
1778257221.263243087,1316343808,41516597248,37567180800
1778257221.493295776,1316343808,42981675008,39588855808
1778257221.718173176,1316343808,43121876992,41071513600
1778257221.944298042,1316343808,44165357568,41962999808
1778257222.169180068,1316343808,44619362304,41848950784
1778257222.398390896,1316343808,44898455552,42667012096
1778257222.624109107,1316343808,45170855936,42939699200
1778257222.850882949,1316638720,45171388416,40791953408
1778257223.076170917,1316343808,45175492608,41848950784
