timestamp,vram_dedicated_bytes,ram_used_bytes,foamrun_rss_bytes
1778257049.866060904,1424150528,6975062016,0
1778257050.087631215,1424150528,7028916224,0
1778257050.309297468,1424150528,7033028608,0
1778257050.530051694,1424150528,7035039744,0
1778257050.751477686,1424150528,7036448768,0
1778257050.973088394,1424150528,7066341376,0
1778257051.194605616,1424150528,7067115520,0
1778257051.415506099,1424150528,7069437952,0
1778257051.636425744,1424150528,7069888512,0
1778257051.857849602,1424150528,7072137216,0
1778257052.078779866,1424150528,7072137216,0
1778257052.299384947,1424150528,7073914880,0
1778257052.521953465,1424150528,7073452032,0
1778257052.742476890,1424150528,7074291712,0
1778257052.962751604,1424150528,7024820224,0
1778257053.184184106,1424150528,7075921920,0
1778257053.406667093,1424150528,7075663872,0
1778257053.628030671,1424216064,7076397056,0
1778257053.849548583,1424216064,7080689664,0
1778257054.070528953,1424216064,7081598976,0
1778257054.291228213,1424216064,7082053632,0
1778257054.513211779,1424216064,7082602496,0
1778257054.735162977,1424216064,7083548672,0
1778257054.956242981,1424150528,7032737792,0
1778257055.177759690,1424150528,7033319424,0
1778257055.398854521,1424150528,7034093568,0
1778257055.620690938,1424150528,7032168448,0
1778257055.841374167,1424445440,7010680832,0
1778257056.064110191,1424150528,7009243136,0
1778257056.287525342,1424150528,7010152448,0
1778257056.507821822,1424216064,7010152448,0
1778257056.730010764,1424216064,7007387648,0
1778257056.951290897,1424216064,7000576000,0
1778257057.174261569,1424216064,7001387008,0
1778257057.395722277,1424216064,7000858624,0
1778257057.616179278,1424216064,6999224320,0
1778257057.837672085,1424150528,6999740416,0
1778257058.058990364,1424150528,7056859136,0
1778257058.280363188,1428901888,7160614912,0
1778257058.502659796,1428885504,7173713920,0
1778257058.723676657,1428885504,7175753728,0
1778257058.945143206,1428885504,7176458240,0
1778257059.166149020,1426788352,7177420800,0
1778257059.387626395,1379201024,7262494720,0
1778257059.608660626,1379201024,7262486528,0
1778257059.830476843,1379201024,7248695296,0
1778257060.051501369,1379586048,7110598656,0
1778257060.272208821,1379880960,7279050752,0
1778257060.493471359,1379864576,7301230592,0
1778257060.714431581,1379864576,7305363456,0
1778257060.935941440,1379864576,7232208896,0
1778257061.156347316,1379864576,7239766016,154726400
1778257061.378965493,1379864576,7510859776,2328244224
1778257061.602925094,1379864576,8103149568,5346557952
1778257061.826641695,1379864576,8385757184,6066294784
1778257062.050264781,1372442624,8371408896,6196215808
1778257062.272528810,1372524544,8514641920,6327586816
1778257062.494349881,1372540928,8655843328,6455570432
1778257062.716251391,1372590080,8831254528,6579339264
1778257062.938426220,1372655616,8960593920,6704160768
1778257063.160129606,1372655616,9091657728,6828974080
1778257063.382154560,1372655616,9406083072,7242059776
1778257063.605027517,1372663808,11043246080,8783073280
1778257063.826188418,1372950528,11173187584,8988172288
1778257064.047357535,1372934144,11389890560,9194151936
1778257064.269460074,1372934144,11590328320,9398587392
1778257064.491601110,1372655616,11786072064,9594961920
1778257064.714770831,1372950528,11986497536,9792073728
1778257064.936162912,1372958720,12275466240,9987919872
1778257065.158186879,1372803072,12463980544,10181656576
1778257065.379846285,1372663808,12656369664,10377043968
1778257065.601914906,1372663808,12853985280,10573008896
1778257065.824330336,1372663808,13052526592,10768490496
1778257066.045421432,1372663808,13291249664,10963800064
1778257066.267801898,1372663808,13571162112,11160375296
1778257066.490337479,1372663808,13757919232,11355734016
1778257066.712319056,1372663808,13958565888,11551334400
1778257066.935343308,1372647424,14118199296,11749089280
1778257067.157467784,1372647424,14315384832,11943645184
1778257067.379976583,1372647424,14499053568,12119482368
1778257067.602645251,1372647424,14637842432,12274524160
1778257067.825343955,1372647424,14809694208,12425519104
1778257068.047537898,1372639232,14717534208,12560916480
1778257068.269333049,1372639232,14847270912,12687601664
1778257068.491811094,1372639232,14985453568,12814114816
1778257068.714426860,1372639232,15055900672,12877459456
1778257068.937740912,1372639232,15209697280,13028691968
1778257069.160515205,1372639232,17066348544,15027736576
1778257069.384544914,1372639232,19421134848,17379823616
1778257069.609003320,1372639232,22493491200,20615749632
1778257069.833265502,1372639232,23168843776,20991733760
1778257070.058091644,1372639232,23177306112,20786319360
1778257070.284167296,1372639232,23727067136,21596315648
1778257070.507406818,1372639232,24191504384,22051815424
1778257070.731655989,1372639232,27496013824,24940171264
1778257070.956043373,1372639232,27738947584,25880301568
1778257071.179852845,1372639232,32721375232,30566879232
1778257071.404628384,1372639232,33837617152,31688310784
1778257071.629462712,1372639232,33886720000,31735971840
1778257071.854094860,1372639232,33894510592,31737995264
1778257072.079245220,1372639232,33894510592,31739867136
1778257072.304391647,1372639232,33895223296,31741792256
1778257072.529795293,1372639232,33895452672,31741800448
1778257072.754998918,1372639232,33889923072,31741833216
1778257072.981560790,1372639232,33892306944,31741911040
1778257073.207812983,1372639232,33894055936,31742570496
1778257073.434426137,1372639232,33894313984,31742717952
1778257073.658551314,1372639232,33894998016,31742918656
1778257073.883054926,1372704768,33891131392,31743078400
1778257074.107541875,1372770304,33282473984,31439589376
1778257074.330759977,1372770304,35132022784,33018011648
1778257074.554564738,1372770304,35752103936,33625063424
1778257074.778649383,1372770304,36050771968,33601056768
1778257075.003868779,1372770304,34578612224,29514776576
1778257075.230847309,1372770304,36530290688,34432155648
1778257075.457784849,1372770304,36604653568,34432221184
