timestamp,bytes_used,bytes_total
1778080321.812157641,1270419456,29955719168
1778080322.021525562,1270419456,29955719168
1778080322.230050242,1270419456,29955719168
1778080322.438564675,1270419456,29955719168
1778080322.647484764,1270484992,29955719168
1778080322.855952163,1270484992,29955719168
1778080323.065072468,1270484992,29955719168
1778080323.273470703,1270484992,29955719168
1778080323.482291506,1270550528,29955719168
1778080323.689588049,1270550528,29955719168
1778080323.897284590,1270616064,29955719168
1778080324.104905529,1270616064,29955719168
1778080324.312672259,1270550528,29955719168
1778080324.520538078,1270550528,29955719168
1778080324.727334171,1270550528,29955719168
1778080324.935374115,1270550528,29955719168
1778080325.143799435,1270484992,29955719168
1778080325.352332214,1270484992,29955719168
1778080325.560336449,1270779904,29955719168
1778080325.768395166,1270484992,29955719168
1778080325.976403921,1270484992,29955719168
1778080326.184139234,1270484992,29955719168
1778080326.392242227,1270550528,29955719168
1778080326.600359126,1270550528,29955719168
1778080326.808388795,1270550528,29955719168
1778080327.016419625,1270550528,29955719168
1778080327.224339153,1270550528,29955719168
1778080327.432990171,1270550528,29955719168
1778080327.641439689,1270550528,29955719168
1778080327.849146066,1270550528,29955719168
1778080328.057591092,1270550528,29955719168
1778080328.266193803,1270484992,29955719168
1778080328.474859187,1270484992,29955719168
1778080328.683767017,1270779904,29955719168
1778080328.890412870,1270484992,29955719168
1778080329.097945453,1270484992,29955719168
1778080329.305915495,1270484992,29955719168
1778080329.512652340,1270484992,29955719168
1778080329.720960273,1270484992,29955719168
1778080329.929596406,1270484992,29955719168
1778080330.138530101,1270484992,29955719168
1778080330.347441877,1270484992,29955719168
1778080330.555894760,1270484992,29955719168
1778080330.764249355,1270484992,29955719168
1778080330.972053759,1270484992,29955719168
1778080331.180286295,1270484992,29955719168
1778080331.388405777,1270484992,29955719168
1778080331.596425152,1270484992,29955719168
1778080331.803853816,1270484992,29955719168
1778080332.011614407,1270550528,29955719168
1778080332.219366457,1270550528,29955719168
1778080332.427236302,1270550528,29955719168
1778080332.635201988,1270616064,29955719168
1778080332.843454435,1270616064,29955719168
1778080333.051337233,1270616064,29955719168
1778080333.259242993,1270550528,29955719168
1778080333.467001464,1270550528,29955719168
1778080333.674892741,1270550528,29955719168
1778080333.883000986,1270550528,29955719168
1778080334.091536787,1270484992,29955719168
1778080334.299340718,1270484992,29955719168
1778080334.507192782,1270484992,29955719168
1778080334.715837250,1270484992,29955719168
1778080334.923539527,1270484992,29955719168
1778080335.131584630,1270484992,29955719168
